subjectID,session,delayMsec,trial,isAnimal,response,numberDistractors
KAE,1,80,1,0,1,50
KAE,1,80,2,0,1,21
KAE,1,80,3,0,0,12
KAE,1,80,4,0,0,13
KAE,1,80,5,0,0,15
KAE,1,80,6,1,1,16
KAE,1,80,7,0,0,18
KAE,1,80,8,1,1,19
KAE,1,80,9,1,1,20
KAE,1,80,10,1,1,22
KAE,1,80,11,1,1,23
KAE,1,80,12,0,0,24
KAE,1,80,13,1,1,25
KAE,1,80,14,0,1,26
KAE,1,80,15,1,1,23
KAE,1,80,16,0,0,23
KAE,1,80,17,0,0,24
KAE,1,80,18,1,1,25
KAE,1,80,19,0,1,25
KAE,1,80,20,1,1,24
KAE,1,80,21,1,1,24
KAE,1,80,22,1,1,25
KAE,1,80,23,1,1,25
KAE,1,80,24,0,0,26
KAE,1,80,25,1,1,26
KAE,1,80,26,1,1,26
KAE,1,80,27,0,0,27
KAE,1,80,28,0,0,27
KAE,1,80,29,1,1,28
KAE,1,80,30,0,0,28
KAE,1,80,31,0,0,28
KAE,1,80,32,1,1,29
KAE,1,80,33,1,1,29
KAE,1,80,34,0,0,30
KAE,1,80,35,0,0,30
KAE,1,80,36,1,1,30
KAE,1,80,37,1,1,31
KAE,1,80,38,0,0,31
KAE,1,80,39,1,1,32
KAE,1,80,40,0,0,32
KAE,1,80,41,1,1,33
KAE,1,80,42,1,0,33
KAE,1,80,43,0,0,31
KAE,1,80,44,1,1,32
KAE,1,80,45,0,0,32
KAE,1,80,46,1,1,32
KAE,1,80,47,0,0,33
KAE,1,80,48,0,0,33
KAE,1,80,49,0,1,34
KAE,1,80,50,1,1,32
KAE,1,20,1,0,0,50
KAE,1,20,2,0,0,66
KAE,1,20,3,0,0,85
KAE,1,20,4,1,1,107
KAE,1,20,5,1,1,131
KAE,1,20,6,1,1,159
KAE,1,20,7,1,0,190
KAE,1,20,8,0,0,111
KAE,1,20,9,1,1,126
KAE,1,20,10,0,0,140
KAE,1,20,11,0,0,153
KAE,1,20,12,1,0,164
KAE,1,20,13,0,0,133
KAE,1,20,14,0,0,143
KAE,1,20,15,1,1,151
KAE,1,20,16,1,1,158
KAE,1,20,17,1,1,165
KAE,1,20,18,1,0,170
KAE,1,20,19,1,0,154
KAE,1,20,20,1,1,137
KAE,1,20,21,0,0,143
KAE,1,20,22,0,0,149
KAE,1,20,23,0,0,153
KAE,1,20,24,0,0,158
KAE,1,20,25,1,1,161
KAE,1,20,26,1,1,165
KAE,1,20,27,0,1,168
KAE,1,20,28,1,1,159
KAE,1,20,29,1,1,162
KAE,1,20,30,0,1,165
KAE,1,20,31,1,1,157
KAE,1,20,32,0,0,160
KAE,1,20,33,0,0,163
KAE,1,20,34,0,0,165
KAE,1,20,35,1,1,167
KAE,1,20,36,1,1,169
KAE,1,20,37,1,1,171
KAE,1,20,38,1,0,173
KAE,1,20,39,1,1,168
KAE,1,20,40,1,1,170
KAE,1,20,41,0,0,172
KAE,1,20,42,1,1,173
KAE,1,20,43,0,0,175
KAE,1,20,44,0,0,176
KAE,1,20,45,0,1,178
KAE,1,20,46,0,0,173
KAE,1,20,47,0,0,175
KAE,1,20,48,1,1,176
KAE,1,20,49,0,0,178
KAE,1,20,50,0,0,179
KAE,1,100,1,0,0,50
KAE,1,100,2,0,0,66
KAE,1,100,3,0,0,85
KAE,1,100,4,1,0,107
KAE,1,100,5,0,0,53
KAE,1,100,6,0,1,62
KAE,1,100,7,0,1,35
KAE,1,100,8,0,1,19
KAE,1,100,9,1,1,11
KAE,1,100,10,1,1,12
KAE,1,100,11,1,1,14
KAE,1,100,12,0,0,15
KAE,1,100,13,0,0,16
KAE,1,100,14,1,1,18
KAE,1,100,15,0,0,19
KAE,1,100,16,0,0,20
KAE,1,100,17,0,1,21
KAE,1,100,18,1,1,18
KAE,1,100,19,1,1,19
KAE,1,100,20,0,0,19
KAE,1,100,21,1,1,20
KAE,1,100,22,0,0,21
KAE,1,100,23,1,1,21
KAE,1,100,24,1,1,22
KAE,1,100,25,1,1,22
KAE,1,100,26,0,0,23
KAE,1,100,27,1,1,23
KAE,1,100,28,0,0,24
KAE,1,100,29,0,0,24
KAE,1,100,30,0,0,25
KAE,1,100,31,0,0,25
KAE,1,100,32,1,1,25
KAE,1,100,33,1,1,26
KAE,1,100,34,0,1,26
KAE,1,100,35,0,0,25
KAE,1,100,36,1,1,25
KAE,1,100,37,0,0,26
KAE,1,100,38,0,0,26
KAE,1,100,39,1,1,26
KAE,1,100,40,1,1,27
KAE,1,100,41,1,1,27
KAE,1,100,42,1,1,27
KAE,1,100,43,1,1,28
KAE,1,100,44,1,1,28
KAE,1,100,45,1,1,28
KAE,1,100,46,1,1,29
KAE,1,100,47,1,1,29
KAE,1,100,48,0,0,30
KAE,1,100,49,1,1,30
KAE,1,100,50,0,0,31
KAE,1,60,1,0,0,50
KAE,1,60,2,0,0,66
KAE,1,60,3,0,0,85
KAE,1,60,4,0,0,107
KAE,1,60,5,1,0,131
KAE,1,60,6,1,1,69
KAE,1,60,7,0,0,81
KAE,1,60,8,0,0,92
KAE,1,60,9,0,0,101
KAE,1,60,10,1,0,110
KAE,1,60,11,0,0,86
KAE,1,60,12,1,1,93
KAE,1,60,13,0,0,99
KAE,1,60,14,1,1,105
KAE,1,60,15,0,0,109
KAE,1,60,16,1,1,114
KAE,1,60,17,0,1,117
KAE,1,60,18,1,1,107
KAE,1,60,19,1,0,110
KAE,1,60,20,0,0,100
KAE,1,60,21,0,0,104
KAE,1,60,22,1,1,107
KAE,1,60,23,0,0,110
KAE,1,60,24,0,0,112
KAE,1,60,25,0,0,114
KAE,1,60,26,0,0,116
KAE,1,60,27,1,1,118
KAE,1,60,28,0,0,120
KAE,1,60,29,1,1,122
KAE,1,60,30,1,1,123
KAE,1,60,31,1,1,125
KAE,1,60,32,0,0,127
KAE,1,60,33,1,1,128
KAE,1,60,34,1,0,129
KAE,1,60,35,1,1,125
KAE,1,60,36,1,1,127
KAE,1,60,37,1,1,128
KAE,1,60,38,1,1,129
KAE,1,60,39,1,1,130
KAE,1,60,40,1,1,132
KAE,1,60,41,0,0,133
KAE,1,60,42,0,0,134
KAE,1,60,43,1,1,135
KAE,1,60,44,0,0,136
KAE,1,60,45,0,0,137
KAE,1,60,46,0,0,138
KAE,1,60,47,1,1,139
KAE,1,60,48,0,1,140
KAE,1,60,49,1,1,137
KAE,1,60,50,1,1,138
KAE,1,-10,1,1,0,50
KAE,1,-10,2,0,0,21
KAE,1,-10,3,0,0,25
KAE,1,-10,4,1,1,29
KAE,1,-10,5,0,0,33
KAE,1,-10,6,1,1,36
KAE,1,-10,7,0,0,40
KAE,1,-10,8,1,1,43
KAE,1,-10,9,1,1,47
KAE,1,-10,10,0,0,50
KAE,1,-10,11,0,0,53
KAE,1,-10,12,1,1,57
KAE,1,-10,13,0,0,61
KAE,1,-10,14,0,1,66
KAE,1,-10,15,1,1,52
KAE,1,-10,16,0,0,54
KAE,1,-10,17,1,1,56
KAE,1,-10,18,0,0,58
KAE,1,-10,19,1,1,60
KAE,1,-10,20,1,1,62
KAE,1,-10,21,1,0,63
KAE,1,-10,22,0,0,58
KAE,1,-10,23,0,0,59
KAE,1,-10,24,0,0,61
KAE,1,-10,25,1,1,62
KAE,1,-10,26,1,1,63
KAE,1,-10,27,0,0,64
KAE,1,-10,28,1,1,65
KAE,1,-10,29,0,0,66
KAE,1,-10,30,0,0,67
KAE,1,-10,31,1,0,69
KAE,1,-10,32,0,0,65
KAE,1,-10,33,0,0,66
KAE,1,-10,34,0,1,67
KAE,1,-10,35,1,1,65
KAE,1,-10,36,0,0,66
KAE,1,-10,37,1,1,66
KAE,1,-10,38,1,1,67
KAE,1,-10,39,1,1,68
KAE,1,-10,40,0,0,69
KAE,1,-10,41,0,0,69
KAE,1,-10,42,1,1,70
KAE,1,-10,43,1,1,71
KAE,1,-10,44,0,1,71
KAE,1,-10,45,0,0,69
KAE,1,-10,46,0,0,70
KAE,1,-10,47,1,1,71
KAE,1,-10,48,1,1,71
KAE,1,-10,49,1,0,72
KAE,1,-10,50,1,1,70
KAE,1,0,1,0,1,50
KAE,1,0,2,1,1,21
KAE,1,0,3,0,0,25
KAE,1,0,4,0,0,29
KAE,1,0,5,1,1,33
KAE,1,0,6,1,1,36
KAE,1,0,7,0,0,40
KAE,1,0,8,0,1,43
KAE,1,0,9,1,1,34
KAE,1,0,10,0,0,36
KAE,1,0,11,0,0,38
KAE,1,0,12,1,1,40
KAE,1,0,13,0,0,42
KAE,1,0,14,0,1,44
KAE,1,0,15,1,1,39
KAE,1,0,16,1,1,41
KAE,1,0,17,1,1,42
KAE,1,0,18,1,1,43
KAE,1,0,19,1,1,44
KAE,1,0,20,1,1,45
KAE,1,0,21,0,0,46
KAE,1,0,22,0,0,47
KAE,1,0,23,0,0,48
KAE,1,0,24,1,1,49
KAE,1,0,25,0,0,49
KAE,1,0,26,1,1,50
KAE,1,0,27,1,1,51
KAE,1,0,28,1,1,52
KAE,1,0,29,0,0,52
KAE,1,0,30,0,0,53
KAE,1,0,31,1,1,54
KAE,1,0,32,0,1,54
KAE,1,0,33,0,0,52
KAE,1,0,34,1,1,53
KAE,1,0,35,0,0,53
KAE,1,0,36,0,0,54
KAE,1,0,37,1,1,54
KAE,1,0,38,0,0,55
KAE,1,0,39,0,0,55
KAE,1,0,40,0,0,56
KAE,1,0,41,1,1,57
KAE,1,0,42,1,1,57
KAE,1,0,43,0,0,58
KAE,1,0,44,1,1,58
KAE,1,0,45,0,0,59
KAE,1,0,46,1,1,59
KAE,1,0,47,1,1,60
KAE,1,0,48,1,1,60
KAE,1,0,49,1,0,61
KAE,1,0,50,0,0,59
KAE,1,40,1,0,1,50
KAE,1,40,2,0,0,21
KAE,1,40,3,0,0,25
KAE,1,40,4,0,0,29
KAE,1,40,5,0,0,33
KAE,1,40,6,0,1,36
KAE,1,40,7,1,1,26
KAE,1,40,8,1,1,29
KAE,1,40,9,1,1,31
KAE,1,40,10,1,1,33
KAE,1,40,11,1,1,35
KAE,1,40,12,0,0,37
KAE,1,40,13,0,1,38
KAE,1,40,14,1,1,34
KAE,1,40,15,0,0,35
KAE,1,40,16,0,0,37
KAE,1,40,17,1,1,38
KAE,1,40,18,0,0,39
KAE,1,40,19,1,1,39
KAE,1,40,20,1,1,40
KAE,1,40,21,1,1,41
KAE,1,40,22,0,0,42
KAE,1,40,23,0,0,43
KAE,1,40,24,1,1,43
KAE,1,40,25,0,0,44
KAE,1,40,26,1,1,45
KAE,1,40,27,1,1,45
KAE,1,40,28,0,0,46
KAE,1,40,29,1,1,47
KAE,1,40,30,0,0,47
KAE,1,40,31,1,1,48
KAE,1,40,32,0,0,49
KAE,1,40,33,0,0,49
KAE,1,40,34,1,1,50
KAE,1,40,35,0,1,51
KAE,1,40,36,0,0,48
KAE,1,40,37,1,1,49
KAE,1,40,38,1,1,49
KAE,1,40,39,1,1,50
KAE,1,40,40,1,1,50
KAE,1,40,41,0,0,51
KAE,1,40,42,1,0,52
KAE,1,40,43,1,1,50
KAE,1,40,44,1,1,50
KAE,1,40,45,0,0,51
KAE,1,40,46,0,0,51
KAE,1,40,47,1,1,52
KAE,1,40,48,1,0,52
KAE,1,40,49,0,0,51
KAE,1,40,50,0,0,51
KAE,2,80,1,0,0,50
KAE,2,80,2,0,0,66
KAE,2,80,3,0,0,85
KAE,2,80,4,0,0,107
KAE,2,80,5,0,0,131
KAE,2,80,6,1,1,159
KAE,2,80,7,0,0,190
KAE,2,80,8,1,1,223
KAE,2,80,9,1,1,260
KAE,2,80,10,1,1,301
KAE,2,80,11,1,0,345
KAE,2,80,12,0,0,227
KAE,2,80,13,1,0,250
KAE,2,80,14,0,1,186
KAE,2,80,15,1,0,132
KAE,2,80,16,0,0,85
KAE,2,80,17,0,0,98
KAE,2,80,18,1,0,109
KAE,2,80,19,0,1,79
KAE,2,80,20,1,1,49
KAE,2,80,21,1,1,58
KAE,2,80,22,1,1,65
KAE,2,80,23,1,1,72
KAE,2,80,24,0,0,77
KAE,2,80,25,1,1,82
KAE,2,80,26,1,1,86
KAE,2,80,27,0,0,89
KAE,2,80,28,0,0,92
KAE,2,80,29,1,1,95
KAE,2,80,30,0,0,98
KAE,2,80,31,0,1,101
KAE,2,80,32,1,1,94
KAE,2,80,33,1,1,96
KAE,2,80,34,0,1,98
KAE,2,80,35,0,0,92
KAE,2,80,36,1,0,94
KAE,2,80,37,1,1,88
KAE,2,80,38,0,0,90
KAE,2,80,39,1,1,92
KAE,2,80,40,0,0,94
KAE,2,80,41,1,1,95
KAE,2,80,42,1,1,97
KAE,2,80,43,0,0,98
KAE,2,80,44,1,1,99
KAE,2,80,45,0,1,100
KAE,2,80,46,1,1,97
KAE,2,80,47,0,0,98
KAE,2,80,48,0,0,99
KAE,2,80,49,0,1,100
KAE,2,80,50,1,1,97
KAE,2,20,1,0,0,50
KAE,2,20,2,0,1,66
KAE,2,20,3,0,0,29
KAE,2,20,4,1,1,34
KAE,2,20,5,1,1,40
KAE,2,20,6,1,1,45
KAE,2,20,7,1,1,50
KAE,2,20,8,0,0,55
KAE,2,20,9,1,1,59
KAE,2,20,10,0,1,63
KAE,2,20,11,0,0,52
KAE,2,20,12,1,1,55
KAE,2,20,13,0,0,58
KAE,2,20,14,0,0,60
KAE,2,20,15,1,1,62
KAE,2,20,16,1,1,64
KAE,2,20,17,1,1,66
KAE,2,20,18,1,1,68
KAE,2,20,19,1,1,70
KAE,2,20,20,1,1,71
KAE,2,20,21,0,0,73
KAE,2,20,22,0,1,75
KAE,2,20,23,0,0,70
KAE,2,20,24,0,0,71
KAE,2,20,25,1,1,73
KAE,2,20,26,1,1,74
KAE,2,20,27,0,1,75
KAE,2,20,28,1,1,72
KAE,2,20,29,1,1,73
KAE,2,20,30,0,1,74
KAE,2,20,31,1,1,71
KAE,2,20,32,0,0,72
KAE,2,20,33,0,0,73
KAE,2,20,34,0,0,74
KAE,2,20,35,1,1,74
KAE,2,20,36,1,1,75
KAE,2,20,37,1,1,76
KAE,2,20,38,1,1,77
KAE,2,20,39,1,1,78
KAE,2,20,40,1,1,78
KAE,2,20,41,0,0,79
KAE,2,20,42,1,1,80
KAE,2,20,43,0,0,81
KAE,2,20,44,0,0,81
KAE,2,20,45,0,1,82
KAE,2,20,46,0,0,80
KAE,2,20,47,0,1,80
KAE,2,20,48,1,1,79
KAE,2,20,49,0,0,79
KAE,2,20,50,0,1,80
KAE,2,100,1,0,0,50
KAE,2,100,2,0,0,66
KAE,2,100,3,0,0,85
KAE,2,100,4,1,1,107
KAE,2,100,5,0,0,131
KAE,2,100,6,0,0,159
KAE,2,100,7,0,0,190
KAE,2,100,8,0,0,223
KAE,2,100,9,1,1,260
KAE,2,100,10,1,0,301
KAE,2,100,11,1,1,193
KAE,2,100,12,0,1,214
KAE,2,100,13,0,1,156
KAE,2,100,14,1,1,106
KAE,2,100,15,0,0,120
KAE,2,100,16,0,0,132
KAE,2,100,17,0,1,142
KAE,2,100,18,1,0,113
KAE,2,100,19,1,1,81
KAE,2,100,20,0,0,92
KAE,2,100,21,1,1,100
KAE,2,100,22,0,0,107
KAE,2,100,23,1,0,113
KAE,2,100,24,1,1,97
KAE,2,100,25,1,1,103
KAE,2,100,26,0,0,108
KAE,2,100,27,1,1,112
KAE,2,100,28,0,0,116
KAE,2,100,29,0,0,119
KAE,2,100,30,0,0,122
KAE,2,100,31,0,0,124
KAE,2,100,32,1,1,127
KAE,2,100,33,1,1,129
KAE,2,100,34,0,1,131
KAE,2,100,35,0,0,125
KAE,2,100,36,1,1,127
KAE,2,100,37,0,1,129
KAE,2,100,38,0,0,124
KAE,2,100,39,1,1,126
KAE,2,100,40,1,1,127
KAE,2,100,41,1,1,129
KAE,2,100,42,1,1,131
KAE,2,100,43,1,1,132
KAE,2,100,44,1,1,133
KAE,2,100,45,1,1,135
KAE,2,100,46,1,0,136
KAE,2,100,47,1,1,132
KAE,2,100,48,0,0,133
KAE,2,100,49,1,0,135
KAE,2,100,50,0,0,131
KAE,2,60,1,0,0,50
KAE,2,60,2,0,1,66
KAE,2,60,3,0,0,29
KAE,2,60,4,0,0,34
KAE,2,60,5,1,1,40
KAE,2,60,6,1,0,45
KAE,2,60,7,0,0,30
KAE,2,60,8,0,0,34
KAE,2,60,9,0,0,37
KAE,2,60,10,1,1,40
KAE,2,60,11,0,0,43
KAE,2,60,12,1,1,45
KAE,2,60,13,0,0,47
KAE,2,60,14,1,1,49
KAE,2,60,15,0,0,51
KAE,2,60,16,1,1,52
KAE,2,60,17,0,0,54
KAE,2,60,18,1,1,56
KAE,2,60,19,1,1,57
KAE,2,60,20,0,0,59
KAE,2,60,21,0,0,60
KAE,2,60,22,1,1,62
KAE,2,60,23,0,0,64
KAE,2,60,24,0,0,66
KAE,2,60,25,0,0,68
KAE,2,60,26,0,0,71
KAE,2,60,27,1,1,74
KAE,2,60,28,0,0,77
KAE,2,60,29,1,1,82
KAE,2,60,30,1,1,87
KAE,2,60,31,1,1,94
KAE,2,60,32,0,0,103
KAE,2,60,33,1,0,115
KAE,2,60,34,1,1,81
KAE,2,60,35,1,1,84
KAE,2,60,36,1,1,88
KAE,2,60,37,1,1,91
KAE,2,60,38,1,1,95
KAE,2,60,39,1,1,99
KAE,2,60,40,1,1,104
KAE,2,60,41,0,0,109
KAE,2,60,42,0,0,114
KAE,2,60,43,1,1,120
KAE,2,60,44,0,0,126
KAE,2,60,45,0,0,133
KAE,2,60,46,0,0,140
KAE,2,60,47,1,1,149
KAE,2,60,48,0,0,158
KAE,2,60,49,1,1,170
KAE,2,60,50,1,1,185
KAE,2,-10,1,1,1,50
KAE,2,-10,2,0,0,66
KAE,2,-10,3,0,0,85
KAE,2,-10,4,1,1,107
KAE,2,-10,5,0,0,131
KAE,2,-10,6,1,0,159
KAE,2,-10,7,0,0,88
KAE,2,-10,8,1,1,102
KAE,2,-10,9,1,1,114
KAE,2,-10,10,0,0,125
KAE,2,-10,11,0,0,135
KAE,2,-10,12,1,1,144
KAE,2,-10,13,0,0,153
KAE,2,-10,14,0,0,161
KAE,2,-10,15,1,1,169
KAE,2,-10,16,0,0,177
KAE,2,-10,17,1,1,185
KAE,2,-10,18,0,0,194
KAE,2,-10,19,1,0,204
KAE,2,-10,20,1,0,175
KAE,2,-10,21,1,0,159
KAE,2,-10,22,0,0,144
KAE,2,-10,23,0,0,149
KAE,2,-10,24,0,1,153
KAE,2,-10,25,1,0,141
KAE,2,-10,26,1,1,128
KAE,2,-10,27,0,0,133
KAE,2,-10,28,1,1,137
KAE,2,-10,29,0,0,141
KAE,2,-10,30,0,0,144
KAE,2,-10,31,1,1,147
KAE,2,-10,32,0,0,150
KAE,2,-10,33,0,0,153
KAE,2,-10,34,0,0,155
KAE,2,-10,35,1,1,157
KAE,2,-10,36,0,0,160
KAE,2,-10,37,1,0,162
KAE,2,-10,38,1,0,156
KAE,2,-10,39,1,0,149
KAE,2,-10,40,0,1,143
KAE,2,-10,41,0,0,136
KAE,2,-10,42,1,1,139
KAE,2,-10,43,1,1,141
KAE,2,-10,44,0,0,143
KAE,2,-10,45,0,1,145
KAE,2,-10,46,0,0,139
KAE,2,-10,47,1,1,141
KAE,2,-10,48,1,1,143
KAE,2,-10,49,1,0,145
KAE,2,-10,50,1,1,140
KAE,2,0,1,0,1,50
KAE,2,0,2,1,1,21
KAE,2,0,3,0,0,25
KAE,2,0,4,0,1,29
KAE,2,0,5,1,1,18
KAE,2,0,6,1,1,21
KAE,2,0,7,0,0,23
KAE,2,0,8,0,0,25
KAE,2,0,9,1,1,27
KAE,2,0,10,0,0,28
KAE,2,0,11,0,0,30
KAE,2,0,12,1,1,31
KAE,2,0,13,0,0,32
KAE,2,0,14,0,0,34
KAE,2,0,15,1,1,35
KAE,2,0,16,1,0,36
KAE,2,0,17,1,1,33
KAE,2,0,18,1,1,33
KAE,2,0,19,1,1,34
KAE,2,0,20,1,1,35
KAE,2,0,21,0,0,36
KAE,2,0,22,0,0,37
KAE,2,0,23,0,0,37
KAE,2,0,24,1,1,38
KAE,2,0,25,0,0,39
KAE,2,0,26,1,1,39
KAE,2,0,27,1,1,40
KAE,2,0,28,1,1,41
KAE,2,0,29,0,0,41
KAE,2,0,30,0,0,42
KAE,2,0,31,1,1,43
KAE,2,0,32,0,1,44
KAE,2,0,33,0,0,41
KAE,2,0,34,1,1,42
KAE,2,0,35,0,0,42
KAE,2,0,36,0,0,43
KAE,2,0,37,1,1,44
KAE,2,0,38,0,0,44
KAE,2,0,39,0,0,45
KAE,2,0,40,0,0,45
KAE,2,0,41,1,0,46
KAE,2,0,42,1,1,44
KAE,2,0,43,0,0,45
KAE,2,0,44,1,1,45
KAE,2,0,45,0,0,46
KAE,2,0,46,1,1,46
KAE,2,0,47,1,1,47
KAE,2,0,48,1,1,47
KAE,2,0,49,1,1,48
KAE,2,0,50,0,0,48
KAE,2,40,1,0,1,50
KAE,2,40,2,0,0,21
KAE,2,40,3,0,0,25
KAE,2,40,4,0,0,29
KAE,2,40,5,0,0,33
KAE,2,40,6,0,1,36
KAE,2,40,7,1,1,26
KAE,2,40,8,1,1,29
KAE,2,40,9,1,1,31
KAE,2,40,10,1,1,33
KAE,2,40,11,1,1,35
KAE,2,40,12,0,0,37
KAE,2,40,13,0,0,38
KAE,2,40,14,1,1,40
KAE,2,40,15,0,0,41
KAE,2,40,16,0,0,42
KAE,2,40,17,1,1,43
KAE,2,40,18,0,0,44
KAE,2,40,19,1,1,46
KAE,2,40,20,1,1,47
KAE,2,40,21,1,1,48
KAE,2,40,22,0,0,49
KAE,2,40,23,0,1,51
KAE,2,40,24,1,1,46
KAE,2,40,25,0,0,47
KAE,2,40,26,1,1,48
